,BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
78,2459604.012273,0.90189,0.00244,1.4751,-0.4,-2.39,4.35,51261
79,2459604.012915,0.90046,0.00248,1.4784,1.14,-0.65,5.38,36514
80,2459604.01355,0.89246,0.00246,1.4817,-2.22,1.07,5.02,39075
81,2459604.014193,0.89607,0.00245,1.4851,0.46,0.38,5.04,43509
82,2459604.014835,0.89635,0.00247,1.4885,-1.18,0.72,5.23,36901
83,2459604.015478,0.89944,0.00249,1.492,2.4,-2.35,6.2,32464
84,2459604.016113,0.90028,0.00247,1.4955,0.22,-1.73,5.48,37623
85,2459604.016756,0.89761,0.00248,1.4991,0.01,-2.33,5.63,36509
86,2459604.017398,0.8954,0.00246,1.5027,-0.58,0.97,5.14,38711
87,2459604.018041,0.89908,0.00248,1.5064,-2.64,0.05,5.74,35834
88,2459604.018676,0.89793,0.00248,1.5101,0.29,1.31,5.3,36054
89,2459604.019318,0.89878,0.00246,1.5139,0.27,-2.26,5.68,35063
90,2459604.01996,0.90015,0.0025,1.5177,2.17,-2.64,5.52,37845
91,2459604.020601,0.89928,0.00249,1.5215,-0.76,-1.56,5.4,37428
92,2459604.021243,0.89949,0.0025,1.5254,-1.11,0.89,5.68,32885
93,2459604.021885,0.90282,0.00246,1.5294,0.04,-1.18,5.28,46172
94,2459604.02252,0.90434,0.00247,1.5334,-1.64,0.32,5.08,43479
95,2459604.023161,0.90154,0.00249,1.5374,3.47,-2.93,6.19,31955
96,2459604.023803,0.90333,0.00249,1.5415,-0.73,-2.03,5.57,35283
97,2459604.024445,0.902,0.00249,1.5457,0.86,-0.96,5.14,37245
98,2459604.025086,0.90276,0.0025,1.5499,-1.4,0.51,5.08,37028
99,2459604.025728,0.90708,0.00253,1.5542,-1.68,-0.21,5.22,35804
100,2459604.026369,0.90337,0.00253,1.5585,0.47,0.46,5.86,30609
101,2459604.02701,0.90842,0.00255,1.5628,0.76,-3.45,5.74,32129
102,2459604.027644,0.90988,0.00252,1.5673,1.49,-0.79,5.67,35673
103,2459604.028291,0.90883,0.00255,1.5718,-1.35,-0.4,6.79,25219
104,2459604.028931,0.91189,0.00252,1.5763,-1.83,0.04,5.63,33379
105,2459604.029565,0.91411,0.00254,1.5808,-0.1,1.22,5.69,30873
106,2459604.030206,0.92096,0.00254,1.5855,-0.1,-1.98,6.24,29061
107,2459604.030847,0.92394,0.00253,1.5902,1.51,-2.81,5.36,32484
108,2459604.031488,0.93189,0.00256,1.595,1.41,-1.27,5.66,32847
109,2459604.032129,0.93615,0.00256,1.5998,-2.82,1.09,6.33,27631
110,2459604.03277,0.93827,0.00258,1.6047,0.27,0.76,5.97,30016
111,2459604.033411,0.94892,0.0027,1.6096,-1.15,0.71,7.79,20743
112,2459604.034051,0.9518,0.00262,1.6146,2.12,-3.79,6.31,27884
113,2459604.034691,0.95879,0.00261,1.6197,1.7,-1.34,5.63,32391
114,2459604.035331,0.96188,0.00265,1.6248,-2.53,-0.41,5.86,27175
115,2459604.035971,0.9691,0.00266,1.63,-1.1,0.57,6.09,24655
116,2459604.036612,0.97237,0.00272,1.6353,-0.45,1.51,7.12,21732
117,2459604.037252,0.97927,0.00269,1.6406,1.28,-3.36,7.11,20991
118,2459604.037892,0.98515,0.0027,1.646,1.76,-0.99,6.95,23466
119,2459604.038533,0.99433,0.0027,1.6515,-0.74,-0.36,6.67,22349
120,2459604.039172,0.98838,0.00268,1.657,-2.1,-0.17,6.42,24378
121,2459604.039855,0.99887,0.00289,1.663,-0.47,1.59,8.13,14780
122,2459604.040496,0.99414,0.00296,1.6686,0.45,-3.73,8.63,14515
123,2459604.041776,0.99962,0.003,1.6802,0.56,-0.06,9.5,12444
