,BJD_TDB,Flux,Err
147,2459588.913586,1.0,0.002
148,2459588.91422,1.00042,0.00199
149,2459588.914862,1.00192,0.00203
150,2459588.915503,0.99894,0.00201
151,2459588.916145,1.00263,0.00199
152,2459588.916787,0.99682,0.00199
153,2459588.917422,1.00223,0.00198
154,2459588.918064,1.00099,0.00199
155,2459588.918706,1.00311,0.00199
158,2459588.92063,1.00497,0.00198
159,2459588.921272,1.0051,0.00197
160,2459588.921913,1.00652,0.00195
161,2459588.922554,1.00575,0.00196
162,2459588.923195,1.00728,0.00196
163,2459588.923836,1.00628,0.00197
164,2459588.924477,1.00524,0.00195
165,2459588.925147,1.00295,0.00194
166,2459588.925788,1.00505,0.00195
167,2459588.926429,1.0026,0.00195
168,2459588.92707,1.00191,0.00196
169,2459588.927712,1.00376,0.00195
170,2459588.928352,1.00488,0.00194
171,2459588.928992,1.00471,0.00195
172,2459588.929632,1.00639,0.00194
173,2459588.930273,1.00508,0.00194
174,2459588.930913,1.00802,0.00195
175,2459588.931554,1.00657,0.00195
176,2459588.932195,1.00484,0.00194
177,2459588.932835,1.00647,0.00194
178,2459588.933476,1.00405,0.00194
179,2459588.934116,1.00757,0.00195
180,2459588.934757,1.004,0.00195
181,2459588.935397,1.0032,0.00194
182,2459588.936038,1.00764,0.00195
183,2459588.936685,1.00569,0.00195
184,2459588.937325,1.0073,0.00195
185,2459588.937965,1.00586,0.00194
186,2459588.938605,1.00724,0.00195
187,2459588.939245,1.00635,0.00196
188,2459588.939885,1.00427,0.00195
189,2459588.940525,1.0028,0.00195
190,2459588.941165,1.0032,0.00195
191,2459588.941805,1.00684,0.00196
192,2459588.942451,1.00091,0.00198
193,2459588.94309,1.00488,0.00202
194,2459588.943729,1.00605,0.00201
195,2459588.944368,1.00395,0.00197
196,2459588.945008,0.99944,0.00196
197,2459588.945654,1.004,0.00197
198,2459588.946294,1.00481,0.00196
199,2459588.946933,1.00494,0.00199
200,2459588.947573,1.00262,0.00198
201,2459588.948212,1.0035,0.002
202,2459588.948851,1.00526,0.00199
203,2459588.949491,1.00329,0.00199
204,2459588.950137,1.00287,0.00199
205,2459588.950776,1.00345,0.00199
206,2459588.951415,1.00226,0.00199
207,2459588.952053,1.00602,0.00197
208,2459588.952699,1.00145,0.00196
209,2459588.953338,1.00654,0.00197
210,2459588.953977,1.00602,0.00197
211,2459588.954617,1.00151,0.00196
212,2459588.955262,1.00079,0.00198
213,2459588.9559,1.00321,0.00198
214,2459588.956539,1.0061,0.00199
215,2459588.957177,1.0019,0.00198
216,2459588.957822,1.006,0.00198
217,2459588.95846,0.99832,0.00198
218,2459588.959098,1.00489,0.00198
219,2459588.959743,1.00138,0.00197
220,2459588.960382,1.00292,0.00197
221,2459588.96102,1.00073,0.00198
222,2459588.961666,1.00261,0.00199
223,2459588.962304,1.00382,0.002
224,2459588.962941,1.00528,0.00202
225,2459588.963586,1.00632,0.00203
226,2459588.964224,1.00096,0.00201
227,2459588.964862,1.00278,0.00202
228,2459588.965506,1.00294,0.002
229,2459588.966144,1.00454,0.00201
