,BJD_TDB,Flux,Err
146,2459588.850106,0.99672,0.00194
147,2459588.850315,0.99719,0.00194
148,2459588.85053,0.99754,0.00194
149,2459588.850739,1.00292,0.00194
150,2459588.850947,1.00209,0.00194
151,2459588.851163,0.99622,0.00195
152,2459588.851378,0.99915,0.00196
153,2459588.851586,1.00026,0.00195
154,2459588.851795,0.99996,0.00195
155,2459588.85201,1.0006,0.00195
156,2459588.852219,1.0029,0.00194
157,2459588.852434,0.99753,0.00195
158,2459588.852643,0.99629,0.00194
159,2459588.852858,0.99697,0.00194
160,2459588.853066,0.99818,0.00194
161,2459588.853282,0.99789,0.00194
162,2459588.85349,0.99937,0.00194
163,2459588.853706,0.99983,0.00194
164,2459588.853914,0.99555,0.00195
165,2459588.854129,0.99897,0.00196
166,2459588.854338,0.99678,0.00196
167,2459588.85456,0.99724,0.00196
168,2459588.854769,0.99817,0.00196
169,2459588.854984,0.99615,0.00196
170,2459588.855193,1.00166,0.00197
171,2459588.855409,0.99928,0.00196
172,2459588.855617,0.99782,0.00196
173,2459588.855833,0.99728,0.00196
174,2459588.856041,0.99886,0.00197
175,2459588.856257,1.0004,0.00196
176,2459588.856465,0.99891,0.00197
177,2459588.85668,0.99881,0.00196
178,2459588.856888,0.99699,0.00198
179,2459588.857104,0.999,0.00198
180,2459588.857312,1.00041,0.00197
181,2459588.857528,0.99835,0.00197
182,2459588.857743,1.00073,0.00197
183,2459588.857952,1.00266,0.00197
184,2459588.858167,1.00285,0.00197
185,2459588.858374,0.99723,0.00197
186,2459588.858589,0.99931,0.00196
187,2459588.858805,1.00111,0.00198
188,2459588.859013,1.00069,0.00197
189,2459588.859228,1.00187,0.00198
190,2459588.859444,0.99825,0.00196
191,2459588.859652,1.00043,0.00196
192,2459588.85986,0.99851,0.00196
193,2459588.860075,1.00098,0.00196
194,2459588.860291,1.00189,0.00195
195,2459588.860506,1.0014,0.00195
196,2459588.860721,0.99893,0.00194
197,2459588.860929,0.99902,0.00195
198,2459588.861144,0.99885,0.00194
199,2459588.861388,1.00053,0.00194
200,2459588.861596,1.00002,0.00194
201,2459588.861812,1.0033,0.00194
202,2459588.86202,1.00328,0.00194
203,2459588.862235,1.00472,0.00195
204,2459588.862443,0.99651,0.00193
205,2459588.862659,0.99901,0.00194
206,2459588.862874,0.99979,0.00194
207,2459588.863125,0.99952,0.00194
208,2459588.863334,0.99607,0.00194
209,2459588.863549,1.00004,0.00195
210,2459588.863757,1.00134,0.00195
211,2459588.863973,0.99773,0.00195
212,2459588.864181,0.996,0.00194
213,2459588.864396,0.99999,0.00194
214,2459588.864604,1.00238,0.00194
215,2459588.864819,1.00153,0.00193
216,2459588.865034,1.00067,0.00194
