BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459604.003046,0.91507,0.00203,1.4320,1.58,-2.71,5.39,39650
2459604.003780,0.91358,0.00202,1.4351,0.41,-1.52,4.70,46724
2459604.004514,0.91192,0.00201,1.4383,1.41,-0.59,4.97,47445
2459604.005247,0.90823,0.00202,1.4415,-2.60,1.89,4.90,44863
2459604.005982,0.90685,0.00202,1.4447,0.64,0.72,4.86,43016
2459604.006717,0.90418,0.00202,1.4481,-0.80,1.79,5.69,37663
2459604.007448,0.90791,0.00202,1.4514,0.84,-2.20,6.24,37539
2459604.008178,0.90830,0.00203,1.4549,0.30,-1.29,6.57,33120
2459604.008916,0.90277,0.00202,1.4584,0.46,-1.09,6.43,36689
2459604.009646,0.90203,0.00202,1.4619,-0.56,0.82,5.01,42112
2459604.010384,0.89965,0.00200,1.4655,-1.19,1.25,5.52,42305
2459604.011116,0.89974,0.00202,1.4691,-0.01,1.40,5.04,40732
2459604.011847,0.90312,0.00201,1.4728,0.65,-2.53,5.96,39465
2459604.012584,0.90179,0.00202,1.4766,0.90,-1.18,4.95,42694
2459604.013314,0.89948,0.00202,1.4804,-0.83,0.60,6.38,34296
2459604.014050,0.90008,0.00202,1.4843,-0.41,1.20,6.27,37654
2459604.014799,0.90100,0.00202,1.4883,-1.30,1.49,5.35,39976
2459604.015534,0.90029,0.00203,1.4923,2.33,-2.61,6.17,35488
2459604.016262,0.89709,0.00202,1.4963,0.01,-1.32,5.35,39674
2459604.016997,0.89757,0.00201,1.5004,0.60,-0.80,5.55,40826
2459604.017731,0.89928,0.00202,1.5046,-1.99,1.18,5.03,45381
2459604.018466,0.89821,0.00203,1.5088,-0.42,0.93,6.23,31174
2459604.019194,0.89844,0.00202,1.5131,0.23,-0.65,5.96,35774
2459604.019929,0.89866,0.00203,1.5174,1.94,-1.98,5.14,41316
2459604.020664,0.89883,0.00203,1.5219,-0.76,-0.87,5.13,43568
2459604.021399,0.89923,0.00204,1.5263,-0.91,0.99,5.89,36105
2459604.022127,0.89854,0.00202,1.5309,-0.95,0.62,5.17,46363
2459604.022896,0.90262,0.00203,1.5357,0.66,-0.33,8.29,28912
2459604.023631,0.90322,0.00206,1.5404,1.22,-2.24,8.21,26652
2459604.024366,0.90134,0.00203,1.5451,0.64,-0.74,5.40,39313
2459604.025101,0.90372,0.00205,1.5499,-1.83,1.09,5.70,39689
2459604.025829,0.90542,0.00207,1.5548,-1.36,0.26,5.42,37273
2459604.026564,0.90593,0.00207,1.5598,0.97,-0.49,6.41,28912
2459604.027298,0.90613,0.00206,1.5648,1.11,-2.50,7.05,29844
2459604.028033,0.90973,0.00207,1.5699,0.86,-0.48,6.75,29298
2459604.028768,0.90975,0.00205,1.5751,-1.66,0.80,5.08,38665
2459604.029503,0.91445,0.00207,1.5803,-0.41,1.06,5.53,35151
2459604.030231,0.91242,0.00206,1.5856,0.29,-1.98,6.56,30970
2459604.030965,0.92069,0.00206,1.5910,1.62,-2.17,5.87,34386
2459604.031700,0.92906,0.00207,1.5965,-0.10,-0.03,6.42,32049
2459604.032435,0.93720,0.00209,1.6020,-1.75,0.88,7.61,25093
2459604.033170,0.94247,0.00213,1.6077,-0.52,0.94,7.08,24473
2459604.033905,0.94851,0.00213,1.6134,1.15,-2.71,7.96,25578
2459604.034639,0.95738,0.00214,1.6192,1.81,-1.41,6.06,33831
2459604.035367,0.96013,0.00215,1.6250,-2.26,-0.24,5.75,31076
2459604.036102,0.97012,0.00217,1.6310,-0.53,0.62,6.33,28306
2459604.036837,0.97365,0.00219,1.6371,-0.43,0.10,8.32,20251
2459604.037571,0.98264,0.00220,1.6432,1.82,-2.37,7.95,19748
2459604.038306,0.98516,0.00217,1.6494,0.88,-0.84,8.09,22514
2459604.039034,0.98951,0.00217,1.6557,-2.31,0.03,6.21,30022
2459604.039769,0.99406,0.00225,1.6621,-0.73,1.52,8.09,18297
2459604.041974,1.00311,0.00230,1.6819,-0.13,0.20,7.66,17727
2459604.043436,1.00330,0.00233,1.6956,1.29,-0.23,10.00,14302
2459604.044171,1.00024,0.00233,1.7025,0.77,-2.43,8.96,15509
2459604.044906,1.00015,0.00234,1.7096,1.10,-0.47,8.55,15881
2459604.045633,1.00530,0.00233,1.7168,-2.21,0.90,8.84,15282
2459604.046368,0.99869,0.00233,1.7240,-0.71,1.01,7.87,16270
2459604.047103,1.00042,0.00237,1.7315,3.11,-2.17,9.50,14362
2459604.047838,1.00434,0.00231,1.7390,0.38,-1.40,8.05,19715
