BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.531049,0.99935,0.00244,1.1774,-0.82,-0.15,6.96,28525
2460356.531154,1.00589,0.00245,1.1779,0.28,0.39,6.41,28280
2460356.531259,1.00040,0.00245,1.1783,0.52,0.70,6.17,30607
2460356.531364,1.00262,0.00245,1.1787,1.68,-0.44,7.04,30303
2460356.531469,1.00371,0.00244,1.1791,2.21,-1.14,6.07,34012
2460356.531574,1.00083,0.00246,1.1796,2.84,-0.70,6.57,28220
2460356.531679,0.99639,0.00244,1.1800,3.19,-0.98,6.65,29588
2460356.531784,0.99840,0.00244,1.1804,3.61,-0.29,6.42,35632
2460356.531889,1.00438,0.00245,1.1808,3.86,-0.57,6.94,31585
2460356.531995,1.00263,0.00245,1.1813,1.22,-0.26,8.32,22905
2460356.532100,0.99888,0.00244,1.1817,-2.21,-0.28,6.37,31676
2460356.532205,1.00061,0.00244,1.1821,-4.92,-0.10,6.23,34531
2460356.532310,1.00068,0.00245,1.1825,-7.24,-0.17,6.82,31357
2460356.532416,0.99720,0.00244,1.1830,-8.89,0.14,6.72,31324
2460356.532521,0.99880,0.00244,1.1834,-8.59,0.13,6.36,34983
2460356.532626,1.00065,0.00245,1.1838,-3.01,-0.20,9.71,25228
2460356.532731,1.00115,0.00244,1.1843,-0.04,-0.56,5.65,38403
2460356.532837,1.00057,0.00245,1.1847,-0.35,-0.16,6.29,32111
2460356.532942,1.00032,0.00245,1.1851,0.12,-0.46,6.89,31700
2460356.533047,0.99950,0.00244,1.1856,0.50,0.10,6.35,33502
2460356.533152,0.99491,0.00243,1.1860,1.04,-0.22,6.27,33997
2460356.533257,0.99853,0.00244,1.1864,1.67,0.06,6.58,33186
2460356.533363,1.00314,0.00245,1.1869,2.98,-0.15,6.97,26743
2460356.533468,1.00285,0.00247,1.1873,3.51,0.55,6.93,27298
2460356.533572,1.00487,0.00247,1.1877,3.79,0.54,6.36,29252
