ariel_idx,muscat_idx,sep_arcsec,ariel_name,ariel_tic,ariel_ra,ariel_dec,muscat_name,muscat_id,muscat_ra,muscat_dec
1330,700,0.06447720112908181,TOI-1730,318022259,107.865826,48.327933,TOI-1730d,2839,107.86583333333,48.327933333333
1108,740,0.06596041134419967,TOI-1730,318022259,107.865826,48.327933,TOI-1730d,2839,107.86583333333,48.327933333333
723,725,0.06694340342198023,TOI-1730,318022259,107.865826,48.327933,TOI-1730c,2840,107.86583333333,48.327933333333
1122,72,0.06702028535777194,TOI-1730,318022259,107.865826,48.327933,TOI-1730c,2840,107.86583333333,48.327933333333
1052,174,0.06753898794635778,TOI-1730,318022259,107.865826,48.327933,TOI-1730e,2697,107.86583333333,48.327933333333
201,160,0.07324372929008278,TOI-1730,318022259,107.865826,48.327933,TOI-1730e,2697,107.86583333333,48.327933333333
1792,689,0.07792504339025565,TOI-5423,47319867,108.076091,20.751933,TOI05423.02,2844,108.07611666667,20.752011111111
1514,317,0.08104960416310053,TOI-5423,47319867,108.076091,20.751933,TOI05423.01,1924,108.07611666667,20.752011111111
1714,729,0.08566949568335384,TOI-5112,337385330,110.304466,17.588565,TOI05112.01,1514,110.30445833333,17.588563888889
1770,648,0.09107555805350204,TOI-1009,107782586,111.667845,-24.462111,TOI01009.01,1505,111.66783333333,-24.462111111111
1779,622,0.09350254092540929,TOI-6944,421005422,111.928044,9.96955,TOI06944.01,2684,111.92820416667,9.969575
1134,171,0.09723903444158541,TOI-1007,65212867,112.752393,-4.463359,TOI01007.01,1599,112.752425,-4.4633611111111
1103,629,0.10250177602590124,TOI-5504,95079513,114.621291,26.909495,TOI05504.01,1943,114.621325,26.909625
1802,681,0.1034359573776673,TOI-5382,356472238,116.954491,48.114999,TOI05382.01,1913,116.954575,48.114983333333
1313,680,0.10410815120595321,TOI-6873,67395329,121.454994,20.803931,TOI06873.01,2651,121.454975,20.803761111111
1791,694,0.10515983022443816,TOI-5591,192969211,123.027093,42.228714,TOI05591.01,1962,123.02712916667,42.228777777778
1758,603,0.10804842500924407,TOI-6104,265010875,126.585367,5.2584,TOI06104.01,2145,126.5854,5.2584194444444
598,701,0.10874830095481608,TOI-5493,468979441,128.640176,9.035381,TOI05493.02,1280,128.64016666667,9.0353805555556
1793,638,0.10887011024660666,TOI-5105,203287192,136.169901,20.931448,C16_0382,99,136.169975,20.931452777778
667,90,0.11490034467494675,TOI-5400,332564140,136.892919,-14.339867,TOI05400.01,1918,136.89322083333,-14.339816666667
0,242,0.1151018157431775,TOI-6476,380528770,140.199949,-18.66747,TOI06476.01,2614,140.19997083333,-18.667461111111
912,223,0.11673596299125098,TOI-5390,8853478,142.444304,30.062908,TOI05390.01,1508,142.44429166667,30.062908333333
1180,200,0.11733080665586991,TOI-3409,405485201,143.731993,-12.25044,TOI03409.01,1729,143.73208333333,-12.250397222222
1279,579,0.11836362815049,TOI-5516,70678449,155.838203,13.472271,TOI05516.01,1946,155.83832083333,13.472230555556
1162,188,0.1230377839411522,TOI-5385,85266608,160.630713,28.198626,TOI05385.01,1914,160.63075833333,28.198622222222
1771,656,0.12464492273959356,TOI-5717,53481079,162.575676,50.796516,TOI05717.01,2004,162.57587916667,50.796683333333
1786,676,0.12664244021735296,TOI-1804,148679712,172.171122,46.480464,TOI01804.01,455,172.171125,46.480463888889
1785,655,0.1274456254654363,TOI-3879,139086171,184.624586,34.897976,TOI03879.01,1792,184.6250375,34.898122222222
1788,690,0.1333962507381762,TOI-5401,397058826,189.518268,3.282395,TOI05401.01,1919,189.5184,3.2824444444444
1799,645,0.13340944954173253,TOI-1835,347332255,189.839224,20.027338,TOI01835-F,602,189.83920833333,20.027338888889
1760,601,0.13368027499904864,TOI-1835,347332255,189.839224,20.027338,Dummy_1835,1222,189.83920833333,20.027338888889
1358,265,0.13745870923602763,TOI-1835,347332255,189.839224,20.027338,TOI01835.01,493,189.83920833333,20.027338888889
34,618,0.14223061848187213,TOI-5646,366804698,198.447139,5.702132,TOI05646.01,1529,198.447125,5.7021305555556
1798,695,0.14246882408845843,TOI-5599,159160230,199.326238,55.681539,TOI05599.01,1964,199.3263625,55.681558333333
1149,353,0.1444721127869087,TOI-4179,297148017,202.416161,-16.555127,TOI04179.01,1170,202.41616666667,-16.555127777778
1720,627,0.14472692978360363,TOI-6972,219824470,204.439616,48.246384,TOI06972.01,2718,204.4398875,48.246355555556
896,110,0.16592305911616703,TOI-1415,148782377,219.037047,42.378458,TOI01415.01,1611,219.03739583333,42.378275
1587,745,0.17034176875837986,TOI-5705,165625229,227.785718,55.934769,TOI05705.01,1999,227.78605,55.934686111111
1589,744,0.17034176875837986,TOI-5669,162577468,243.934903,48.32326,TOI05669.01,1987,243.93498333333,48.323194444444
1587,741,0.17034176875837986,TOI-1291,198186769,245.818009,62.925121,TOI01291.01,1606,245.81806666667,62.925063888889
1588,745,0.17034176875837986,TOI-7044,263723967,250.414739,15.20053,TOI07044.01,2775,250.414875,15.200530555556
1588,741,0.17034176875837986,TOI-2163,43429656,261.440953,23.057031,TOI02163.01,1673,261.44094166667,23.056955555556
1589,742,0.17034176875837986,TOI-7195,62682198,269.093655,-0.491936,TOI07195.01,2865,269.09373333333,-0.49183333333333
1588,742,0.17034176875837986,TOI-5782,158845573,269.951986,27.829972,TOI05782.01,2024,269.9519875,27.829986111111
1589,741,0.17034176875837986,TOI-5190,289574465,278.781977,36.615633,J183507,139,278.78191666667,36.615583333333
1589,743,0.17034176875837986,TOI-5193,336126253,281.074106,37.366161,TOI05193.01,1873,281.07409583333,37.366019444444
1588,743,0.17034176875837986,TOI-7242,426122272,287.714735,34.80428,TOI07242.01,2888,287.71475416667,34.804325
1587,744,0.17034176875837986,TOI-7225,209320688,288.713507,9.949236,TOI07225.01,2881,288.713525,9.9493
1587,743,0.17034176875837986,TOI-5269,359321688,291.219573,22.12466,TOI05269.01,1208,291.21958333333,22.124658333333
1587,746,0.17034176875837986,TOI-7216,69436501,291.820807,12.282756,TOI07216.01,2874,291.82084166667,12.282822222222
1589,745,0.17034176875837986,TOI-5847,95574586,295.850508,3.031456,TOI05847.01,2051,295.85048333333,3.0314777777778
1587,742,0.17034176875837986,TOI-7214,251803342,296.93748,-3.802666,TOI07214.01,2872,296.937475,-3.8026555555556
1588,744,0.17034176875837986,TOI-7218,279331929,299.229685,23.001848,TOI07218.01,2876,299.22970833333,23.001930555556
1588,746,0.17034176875837986,TOI-7208,388371132,300.258294,13.392295,TOI07208.01,2868,300.258325,13.392316666667
1589,746,0.17034176875837986,TOI-7234,418629890,300.418972,11.370499,TOI07234.01,2884,300.41897083333,11.370505555556
1780,544,0.1716215072875179,TOI-7204,71083829,301.736864,-8.701088,TOI07204.01,2866,301.73684166667,-8.7011083333333
624,62,0.178670033584062,TOI-5219,378708888,302.828492,34.368508,TOI05219.01,1272,302.8285,34.368508333333
1745,775,0.1804484093878293,TOI-7217,151760597,305.033226,-6.073279,TOI07217.01,2875,305.03317083333,-6.0732277777778
1789,660,0.18078259985110862,TOI-1350,233953967,305.395161,56.462656,TOI01350.01,1608,305.39511666667,56.462625
1730,771,0.18355348878367905,TOI-7241,456401439,305.773054,15.801685,TOI07241.01,2887,305.7730375,15.801705555556
1738,751,0.18407430359088559,TOI-5236,193765661,306.286561,43.233222,TOI05236.01,1879,306.28662916667,43.233266666667
1797,687,0.1849910513584275,TOI-7107,237019002,306.570479,60.668422,TOI07107.01,2795,306.5704,60.668411111111
1794,654,0.18894019575160284,TOI-5271,296461391,306.984801,48.318598,TOI05271.01,1886,306.98482916667,48.318619444444
1662,28,0.20115202754887687,TOI-7211,374800835,308.295413,10.706462,TOI07211.01,2869,308.29532083333,10.706491666667
1148,250,0.2096235025731652,TOI-7283,298189384,308.504216,24.188255,TOI07283.01,2915,308.504275,24.188277777778
1790,636,0.21038985623758316,TOI-7251,298291597,308.646655,27.357715,TOI07251.01,2893,308.64668333333,27.357655555556
1486,212,0.22403588533998664,TOI-7293,417514666,308.666374,17.881939,TOI07293.01,2923,308.66634583333,17.881925
33,454,0.22627362760774503,TOI-3943,343330330,309.768437,61.459062,TOI03943.01,1799,309.76844583333,61.459052777778
1782,637,0.23238518387625082,TOI-5149,286094277,310.458865,48.028314,TOI05149.01,1867,310.45895416667,48.028241666667
1772,551,0.23907708378722198,TOI-7313,341157650,310.591373,12.034449,TOI07313.01,2934,310.5914,12.034475
903,155,0.23966359136262905,TOI-7179,196201652,311.011623,45.835325,TOI07179.01,2854,311.01165,45.835222222222
1085,625,0.2404641521495076,TOI-7222,466890210,311.10033,3.037627,TOI07222.01,2879,311.10030833333,3.0376138888889
1204,259,0.2490197419088029,TOI-7253,383358873,311.716589,8.872931,TOI07253.01,2894,311.7165375,8.8730805555556
1051,304,0.24941364633640561,TOI-7299,85216969,311.940071,15.302412,TOI07299.01,2926,311.94007916667,15.302463888889
1070,514,0.2497252732859866,TOI-7262,87932853,312.118829,16.407468,TOI07262.01,2900,312.11885,16.407438888889
173,181,0.2605414406345715,TOI-7224,466966249,312.205584,5.082423,TOI07224.01,2880,312.20559583333,5.0824555555556
1207,420,0.26210151416977207,TOI-7272,398099429,313.091003,16.166785,TOI07272.01,2907,313.091025,16.166830555556
1765,661,0.26680582157067473,TOI-7215,23912656,313.272302,-7.474875,TOI07215.01,2873,313.27222916667,-7.4748583333333
1140,64,0.2669171248206178,TOI-7062,23961340,313.292091,-9.044055,TOI07062.01,2780,313.29190416667,-9.0439305555556
1766,563,0.2677773761209792,TOI-5928,387318409,315.179483,17.179357,TOI05928.01,2101,315.17955416667,17.179475
1767,614,0.2701922029293177,TOI-5907,387318486,315.219892,17.116416,TOI05907.01,1421,315.219875,17.116416666667
131,477,0.27418217315719917,TOI-7266,125695940,316.133987,12.642488,TOI07266.01,2902,316.13395833333,12.642466666667
1383,717,0.2860292824742673,TOI-7084,165337974,316.498826,37.665263,TOI07084.01,2789,316.49889583333,37.66545
1332,770,0.28989965572549087,TOI-5919,165948070,317.15771,37.74979,TOI05919.01,2096,317.15770833333,37.749761111111
1163,230,0.29417567724331195,TOI-7329,387377484,317.243864,5.909454,TOI07329.01,2942,317.24384166667,5.9094722222222
1163,231,0.29417567724331195,TOI-7320,279528230,317.304774,18.853503,TOI07320.01,2937,317.30465416667,18.853455555556
1803,703,0.2977642641960259,TOI-7311,387416841,318.446458,1.178134,TOI07311.01,2932,318.44640833333,1.1781472222222
1225,450,0.304424308896477,TOI-7290,62501513,318.927621,51.246027,TOI07290.01,2921,318.92763333333,51.246047222222
1768,597,0.3070935144240921,TOI-7271,63232997,319.758472,51.430695,TOI07271.01,2906,319.75851666667,51.430719444444
1351,133,0.3343678398980818,TOI-7289,291976834,322.734808,9.98829,TOI07289.01,2920,322.7347875,9.9883111111111
1059,644,0.33747997034167654,TOI-7312,292023054,322.968532,9.789942,TOI07312.01,2933,322.96855416667,9.789975
1763,634,0.3430712323107297,TOI-5965,405788729,324.751784,62.94426,TOI05965.01,2112,324.75181666667,62.94425
52,787,0.3449349584776138,TOI-3591,190479710,325.190963,43.529775,TOI03591.01,1748,325.191,43.529761111111
528,324,0.3531425883216289,TOI-7330,287444302,326.505177,35.490897,TOI07330.01,2943,326.5052625,35.490941666667
1748,647,0.37614652315484903,TOI-6148,371573539,332.035863,19.506473,TOI06148.01,2167,332.03592916667,19.506522222222
1428,36,0.40170707739929173,TOI-7099,430415564,332.624758,48.097061,TOI07099.01,2793,332.62477083333,48.097069444444
1193,346,0.43746779008288583,TOI-7113,335624180,332.920933,60.758124,TOI07113.01,2798,332.92095416667,60.758119444444
1801,682,0.44254311231172194,TOI-5953,27863043,333.026487,26.474465,TOI05953.01,2111,333.02647916667,26.474638888889
1412,14,0.45521278809614907,TOI-3947,336092760,333.725864,62.858737,TOI03947.01,1800,333.72586666667,62.858755555556
1331,739,0.4628964830201399,TOI-7095,395214388,335.259662,57.081072,TOI07095.01,2791,335.25962083333,57.081063888889
1754,490,0.46488954849376574,TOI-6010,199949052,336.737635,45.971999,TOI06010.01,1477,336.737625,45.972
1702,463,0.47247512066203373,TOI-7177,51768374,337.663459,12.556345,TOI07177.01,2853,337.66327083333,12.556313888889
1188,247,0.48055906893772515,TOI-7181,419878733,337.67535,9.158174,TOI07181.01,2855,337.67535833333,9.1581694444444
