BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459603.987893,1.00027,0.00254,1.3778,2.05,-5.27,5.04,37806
2459603.988538,1.00244,0.00264,1.3797,0.10,-0.89,6.75,26146
2459603.989176,1.00170,0.00272,1.3816,1.46,-3.02,6.30,23698
2459603.989813,1.00473,0.00275,1.3836,0.89,-1.04,6.84,19194
2459603.990458,1.00213,0.00268,1.3856,0.05,0.79,6.88,24209
2459603.991096,0.99752,0.00275,1.3877,-0.18,-0.21,6.93,18360
2459603.992378,0.99899,0.00277,1.3919,0.70,0.96,7.08,19064
2459603.993022,0.99944,0.00267,1.3940,3.15,-2.11,6.89,22732
2459603.994303,0.99275,0.00276,1.3984,-0.04,-0.53,8.46,16221
2459603.994941,0.98642,0.00262,1.4006,0.76,-1.01,6.78,24054
2459603.995586,0.98373,0.00263,1.4029,-0.53,0.83,6.76,24580
2459603.996223,0.97375,0.00263,1.4052,0.22,0.40,7.00,22524
2459603.996868,0.97395,0.00275,1.4076,-0.62,0.90,8.22,17210
2459603.997505,0.96884,0.00253,1.4099,1.63,1.27,5.38,34220
2459603.998142,0.96491,0.00256,1.4123,1.31,-3.38,6.00,29046
2459603.998786,0.95657,0.00255,1.4148,0.90,-2.32,5.49,32234
2459603.999459,0.95264,0.00253,1.4174,1.80,-1.25,5.33,35430
2459604.000103,0.94297,0.00253,1.4199,-0.77,0.06,5.74,33497
2459604.000739,0.93672,0.00253,1.4225,-1.28,1.68,6.44,30635
2459604.001383,0.93052,0.00250,1.4251,-0.57,-0.66,5.14,38511
2459604.002019,0.92556,0.00250,1.4277,0.37,1.86,5.33,33948
2459604.002662,0.92155,0.00247,1.4304,1.49,-2.56,6.04,34197
2459604.003299,0.91859,0.00248,1.4331,1.57,-2.33,5.05,40293
2459604.003943,0.91494,0.00248,1.4358,0.34,-1.88,5.66,36357
2459604.004587,0.91153,0.00247,1.4386,1.21,-0.64,4.79,41654
2459604.005223,0.90915,0.00247,1.4414,-2.33,1.95,4.98,41030
2459604.005866,0.90359,0.00246,1.4443,1.17,-0.07,4.78,40152
2459604.006501,0.90776,0.00247,1.4472,-1.24,1.68,5.27,38391
2459604.007145,0.90427,0.00247,1.4501,1.25,-2.01,5.35,36571
