,star,teff,eteff,logg,elogg,vsini,evsini,rad,prot,smwo,esmwo,logrphk,elogrphk,emission
54,K2-115,5608.0,150.0,4.52,0.12,3.1,0.3,0.891135,11.996677656434763,0.27697304460236816,0.06985446217952695,-4.556800679887215,0.2823772726746009,False
55,K2-138,5378.0,121.0,4.48,0.05,4.3,0.3,0.883463,9.03394849247856,0.27160378107712596,0.0012446371461789384,-4.649833929700715,0.21181941248550026,True
56,K2-139,5114.0,150.0,4.49,0.12,3.5,0.3,0.934874,10.919489984357805,0.3520821155784929,0.04909498555352016,-4.6058449713606215,0.16185024875172815,True
57,K2-140,5678.0,39.0,4.45,0.08,3.2,0.3,1.000036,13.790704352513664,0.2195231930929062,0.06816884341889855,-4.682666343912193,0.11177704215360927,False
58,K2-141,4472.0,150.0,4.63,0.11,3.5,0.3,0.722356,8.470052938132039,0.9430578046663056,0.035324264592809296,-4.409796338146797,0.057300867359380794,True
59,K2-172,5342.0,150.0,4.48,0.12,0.6,1.2,0.91173,62.83414820126619,0.21082653875920535,0.010710455894265438,-4.82398679518359,0.37269939659878115,True
60,K2-19,5285.0,82.0,4.53,0.15,2.9,0.3,0.869603,12.76081886945303,0.27514554969120475,0.026040688246197298,-4.677321321355327,0.134973999743704,True
61,K2-198,5174.0,77.0,4.51,0.04,5.4,0.2,0.810629,6.607671378659966,0.6545285791084345,0.012822586552981683,-4.262506209337277,0.04137513949540047,True
62,K2-222,5840.0,81.0,4.26,0.03,1.8,0.3,1.13838,27.620273260987084,0.173964874782741,0.0008852020995718234,-4.806654018453415,0.32029602054589523,False
63,K2-232,5860.0,130.0,4.29,0.1,3.0,0.3,1.272519,17.556087220228022,0.1461578127012167,0.0194598720895614,-4.954085984451968,0.729204839373109,False
64,K2-233,4818.0,27.0,4.6,0.06,4.2,0.2,0.734917,7.388389670393636,0.6779442411338067,0.008873629018138813,-4.402422610770804,0.013473560348832809,True
65,K2-236,6068.0,69.0,4.23,0.03,1.3,0.4,1.383062,46.25920097816249,0.14994335266760708,0.001976968374981765,-4.881642502540591,0.3442433946503704,False
66,K2-237,6570.0,140.0,4.4,0.09,12.5,0.2,1.285937,4.185183289242381,0.20223758504086933,0.02269903991737878,-4.5597372362436674,0.2679731182930833,False
67,K2-24,5678.0,13.0,4.33,0.14,3.3,0.3,1.117673,15.950373769327319,0.12865272228975344,0.013450401011302153,-5.133410392530081,0.09846179416926246,False
68,K2-261,5516.0,79.0,4.05,0.06,2.9,0.3,1.688489,25.227719066804788,0.14177673794518753,0.00867941966028716,-5.078679764582962,0.44313036305556774,False
69,K2-280,5708.0,68.0,4.27,0.07,2.9,0.3,1.211672,19.130259207737282,0.13815254918454123,0.014379772701805656,-5.04948585175617,0.4312081948531432,False
70,K2-290,6266.0,118.0,4.19,0.04,6.8,0.1,1.445624,9.353592513687893,0.14948816847157703,0.0008936502563477496,-4.848714179279825,0.5230843349122004,False
71,K2-329,5348.0,123.0,4.52,0.04,1.7,1.5,0.852983,21.787595447250702,0.2923066206528385,0.006730513460637838,-4.617543862678471,0.19164510654679126,True
72,K2-333,5730.0,72.0,4.26,0.03,2.3,0.3,1.243289,23.542749549372036,0.153988425294195,0.0016423836172200887,-4.940176846743328,0.3609417086162967,False
73,K2-34,5967.0,40.0,4.17,0.14,5.6,0.2,1.44246,11.302158998779706,0.15915389636458924,0.030399461887744544,-4.849548422468444,0.1842348371749655,False
74,K2-36,4962.0,112.0,4.58,0.05,2.3,0.4,0.716129,13.614406501253097,0.6642909762936045,0.005322827622631906,-4.347231933905637,0.04922055367745169,True
75,K2-39,4965.0,52.0,3.38,0.0,3.3,0.6,3.14849,53.89119161482864,0.1494317813053252,0.02253183672251153,-5.217278551159215,0.17269209855708798,True
76,K2-58,4884.0,150.0,4.52,0.11,1.6,0.7,0.891286,22.65646312253662,0.3113405630550028,0.022682087848274583,-4.77164090814456,0.15228149206562355,True
77,K2-99,5926.0,54.0,3.75,0.02,9.6,0.3,2.721896,12.210852815042765,0.1317457849587374,0.0007834369001554777,-5.04571726567909,0.38400561827964164,False
78,KELT-1,6596.0,90.0,4.24,0.03,52.8,1.3,1.509015,1.208696612476079,0.2068074419061174,0.003299567698584961,-4.541238928363633,0.16269118611585845,False
79,KELT-11,5307.0,35.0,3.68,0.0,2.4,0.7,2.8193,52.95424536211492,0.18896058105576322,0.0013556170122403512,-4.912787767156583,0.10131988660307563,True
80,KELT-18,6726.0,120.0,4.03,0.08,10.6,0.2,1.942739,7.971176099233281,0.23706611536643082,0.0028278370263916186,-4.4367239032272225,0.16395994686660514,False
81,KELT-4A,6316.0,104.0,4.05,0.09,6.5,0.2,1.683063,11.718246215524937,0.14673506095622652,0.0028426969588610297,-4.859808138556307,0.46222390310775824,False
82,KELT-7,6685.0,90.0,4.2,0.02,70.5,2.0,1.783032,0.9981725649337947,0.21663351279964563,0.0004888434533637701,-4.502260124549075,0.14374431970884669,False
83,Kepler-1514,6314.0,99.0,4.32,0.03,8.6,0.1,1.27958,6.500745818784495,0.16734720993651278,0.0015839641868563691,-4.738991734237446,0.3334796005311647,False
84,Kepler-1515,6352.0,36.0,4.13,0.01,10.6,0.1,1.583645,6.570575513064061,0.14844087581413062,0.0011086862609872206,-4.843787293400103,0.15130931538788708,False
85,Kepler-25,6248.0,114.0,4.24,0.04,9.5,0.1,1.351204,6.231514132052122,0.15623503115178689,0.0011372936945198498,-4.8099724183506805,0.46555562935215855,False
86,Kepler-91,4586.0,42.0,2.89,0.08,3.1,0.3,6.517,92.13257829348137,0.13139606945015542,0.0012649610998928544,-5.468426134199072,0.11508395220767977,
87,NGTS-2,6562.0,45.0,4.16,0.01,15.4,0.4,1.639815,4.524877933095608,0.16427518517994466,0.006115189124702985,-4.730248930012167,0.12808825064388094,False
88,PH2,5788.0,136.0,4.46,0.05,4.0,0.2,0.938524,10.30753626511846,0.19279454733508516,0.0026438988683027617,-4.741765212284088,0.44948055598960257,False
89,Qatar-8,5640.0,93.0,4.17,0.08,1.3,1.0,1.35392,44.990268846430716,0.1528694944868648,0.0024694454781288896,-4.972435965748557,0.46533643916120293,False
90,TIC257060897,5942.0,150.0,3.97,0.06,2.9,0.3,1.907718,28.743115706815555,0.1411865662960111,0.003820768210600876,-4.968429766607579,0.8972073743641716,False
91,TOI-1130,4468.0,142.0,4.6,0.06,3.2,0.4,0.66985,9.30048593380105,0.7813841261506292,0.005342038728311567,-4.499803252101302,0.03360958270606772,True
92,TOI-125,5442.0,136.0,4.5,0.05,1.3,0.4,0.856146,28.888739606540735,0.170864164070772,0.0004899778923602957,-4.941437879377952,0.5077140504797899,True
93,TOI-1333,6503.0,91.0,4.08,0.03,14.7,0.2,1.827731,5.413375915465761,0.1683397394972495,0.0010738092354866382,-4.712547783031292,0.2576933585311426,False
94,TOI-1601,6085.0,83.0,3.97,0.03,5.7,0.2,2.117505,16.16091241373757,0.14183844872755436,0.0019101910284334508,-4.932809822623553,0.46573040788117304,False
95,TOI-201,6332.0,93.0,4.3,0.03,9.0,0.2,1.339992,6.503399102943909,0.17048398574164175,0.0005247568424093423,-4.720630326952478,0.29755048390616234,False
96,TOI-216,5152.0,132.0,4.52,0.05,1.6,0.4,0.830948,22.713727725455342,0.3476910944033226,0.006293205494576921,-4.5969841777173475,0.14426066964284948,True
97,TOI-257,6224.0,104.0,4.04,0.03,9.4,0.3,1.926399,9.0198314236742,0.15470064762144803,0.0004210812019851423,-4.8229991007478805,0.4414358659225117,False
