Host	TOI	URL	Cluster/	Age	Age_median	Age-dating method	exofop url	Discovery Ref.	Nplanets	multi?	Mass ref.	spec inst	Nplanet with mass	Atm ref.	TTV ref	Obliq. ref	RM/DT instrument	exofop_url_json	RA	DEC	TESS	Host Teff	Host radius	Host radius err	Host mass	Vsini	amenable for RM	distance	sectors	Kepler/K2 era?	Prot	LiEW	logR'_HK	B-V	Is Tmag<13?	Is in South?	Is <100 pc?	South & <100pc?
KOI-7368/Kepler-1974		https://exoplanetarchive.ipac.caltech.edu/overview/KOI-7368/Kepler-1974	CH-2 in Cep-Her complex	28-46	37	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=KOI-7368/Kepler-1974	Bouma+2022b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=KOI-7368/Kepler-1974&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
			Cep-Her complex	28-271	149.5	gyro+Li		Bouma+2024b												Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
KOI-7913A/Kepler-1975A		https://exoplanetarchive.ipac.caltech.edu/overview/KOI-7913A/Kepler-1975A	CH-2 in Cep-Her complex	28-46	37	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=KOI-7913A/Kepler-1975A	Bouma+2022b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=KOI-7913A/Kepler-1975A&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
			Cep-Her complex	30-329	179.5	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TOI-837	TOI-837	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-837	IC 2602	30-46	38	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-837	Bouma+2020	1	0	Barragan+2024		1					https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-837&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
											Damasso+2024									Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
Kepler-1627A		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1627A	$\delta$ Lyr	32-44	38	cluster, gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1627A	Bouma+2022a,b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1627A&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0.99			Loading...		1					Loading...	Loading...	Loading...	Loading...
DSTucA	TOI-200	https://exoplanetarchive.ipac.caltech.edu/overview/DSTucA	Tuc-Hor	40-50	45	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-200	Newton+2019	1	0				Benatti+2021		Montet+2020		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-200&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
Kepler-1643		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1643	RSG-5$^a$ in Cep-Her complex	39-55	47	cluster, gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1643	Bouma+2022b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1643&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TIC434398831			Theia 116 	55-67	61	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TIC434398831	Vach+2025	2	1																												
