"Star_Name","SIMBAD_QUERY","RA","DEC","source_id_DR2","source_id_DR3","2mass_id","Bmag_s","eBmag_s","Bmag_g","eBmag_g","Vmag_s","eVmag_s","Vmag_g","eVmag_g","Gmag","eGmag","BPmag","eBPmag","RPmag","eRPmag","Jmag","eJmag","Hmag","eHmag","Ksmag","eKsmag","EBV","EBV_68L","EBV_68U","lum","lum_68L","lum_68U","parallax","eparallax","U","V","W","e","Rgal","X","Y","Z","teff","eteff","logg","elogg","feh","efeh","vsini","evsini","vmicro","evmicro","vmicro_flag","mass","mass_68L","mass_68U","rad","rad_68L","rad_68U","age","age_68L","age_68U","A_C","A_O","A_N","eA_C","eA_O","eA_N","sindex","logrhk","cairt","prot","params_analysis","params_ref","abund_analysis","abund_ref","amr_analysis","amr_ref","version","note"
"WASP-64","WASP-64",101.1149192,-32.8583879,"Gaia DR2 5583523425437258240","Gaia DR3 5583523425437258240","J06442760-3251302",NA,NA,13.426375,0.003038685,NA,NA,12.699383,0.002297872,12.517786,0.002781,12.883068,0.003105,11.988051,0.003893,11.3680000305176,0.022,11.0790004730225,0.024,10.956000328064,0.018999999,0.028403518,0.011741783,0.049686445,1.03674072171378,0.999276185,1.08613980355779,2.7721,0.0102,-10.1881909275236,215.45510840335,-31.959942363387,0.0360744530962125,8167.85,-8162.06696434893,-307.326395054262,-71.9499001360891,5581,127,4.38,0.04,0.17,0.1,2.3,0.4,0.59,0.15,"free",0.996274,0.940868,1.051475,1.08041,1.033352,1.13256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"WASP-66","WASP-66",158.22497,-34.98985,"Gaia DR2 5444147952811517696","Gaia DR3 5444147952811517696","J10325399-3459234",12,0.100000001490116,12.161426,0.002234994,11.6000003814697,0.109999999403953,11.704588,0.001758181,11.588525,0.002772,11.830812,0.002842,11.184345,0.003806,10.7189998626709,0.022,10.496000289917,0.024,10.4519996643066,0.022,0.057922582,0.041269473,0.078977262,5.06399066834369,4.80039058928455,5.38007666037077,1.9962,0.031300001,50.8342682681654,239.553437511073,-7.82610814155376,0.200069736849589,7986.39,-7972.50804905036,-470.608877192423,194.455344273456,6641,97,4.09,0.14,-0.09,0.04,13.4,0.4,1.98,0.06,"free",1.360867,1.337272,1.384835,1.686133,1.619354,1.755965,NA,NA,NA,8.39,8.66,NA,0.07,0.12,NA,NA,NA,NA,NA,"EW","M22","C_SYEW;O_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"WASP-67","WASP-67",295.74384,-19.94959,"Gaia DR2 6868476691490044672","Gaia DR3 6868476691490044672","J19425852-1956585",12.8999996185303,0.28999999165535,13.036541,0.004512119,12.539999961853,0.259999990463257,12.152508,0.002738168,11.908618,0.002766,12.362065,0.002973,11.294559,0.003826,10.6079998016357,0.026000001,10.21399974823,0.023,10.128999710083,0.021,0.0579337061128516,0.043952114,0.073185213,0.549553347723459,0.5340079035757,0.56694088,5.272,0.0123,15.5344201565847,205.275907155912,-4.50793393197743,0.0918943385670576,7833.07,-7832.82560592313,61.3630984036545,-40.4166561097946,5135,76,4.47,0.16,0.28,0.02,2.8,0.9,0.45,0.41,"free",0.893357,0.860218,0.92897,0.930255,0.902251,0.961275,NA,NA,NA,8.61,8.68,8.13,0.03,0.21,0.12,NA,NA,NA,NA,"EW","M22","C_SYEW;N_SYNTH;O_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"WASP-68","WASP-68",305.09577,-19.3147,"Gaia DR2 6860535606196306304","Gaia DR3 6860535606196306304","J20202298-1918528",11.3400001525879,0.07,11.276727,0.004320252,10.6700000762939,0.059999999,10.586025,0.002991365,10.411358,0.00276,10.758946,0.002809,9.898072,0.003787,9.34099960327148,0.023,9.04199981689453,0.024,8.94799995422363,0.022,0.034437929,0.0280862665677699,0.040757229,2.90182098102382,2.852913504973,2.9508150160195,4.3473,0.0144,42.1435617027457,234.488305019686,1.52355450264781,0.159623173466311,7815.65,-7815.20227359693,83.8442474499514,-83.3815132097218,5913,23,4.09,0.11,0.3,0.01,2.3,0.4,1.27,0.04,"free",1.299184,1.292122,1.309268,1.61733,1.598637,1.636243,NA,NA,NA,8.79,8.92,8.3,0.03,0.08,0.12,NA,NA,NA,NA,"EW","M22","C_SYEW;N_SYNTH;O_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"WASP-69","WASP-69",315.02582,-5.09445,"Gaia DR2 6910753016653587840","Gaia DR3 6910753016653587840","J21000618-0505398",10.9300003051758,0.059999999,10.826221,0.003289673,9.86999988555908,0.029999999,9.814109,0.002295629,9.491504,0.002784,10.029882,0.003068,8.808325,0.003901,8.0319995880127,0.023,7.54300022125244,0.023,7.45900011062622,0.024,0.114946748717974,0.098008072,0.131695677575497,0.418351254178613,0.405260462117045,0.431880610482583,19.8858,0.017000001,9.2982345287003,208.755840513348,-2.96664529655129,0.0650245313463876,7968.96,-7968.90417845984,29.9204386754797,-0.865670245928914,4693,150,4.46,0.15,0.38,0.001,3.2,0.3,0.87,0.15,"free",0.810756,0.774605,0.869189,0.898759,0.863512,0.926509,NA,NA,NA,8.79,8.87,8.16,0.03,0.12,0.12,NA,NA,NA,NA,"EW","M22","C_SYNTH;N_SYNTH;O_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"WASP-7","WASP-7",311.04259,-39.22524,"Gaia DR2 6681720724498802176","Gaia DR3 6681720724498802176","J20441022-3913309",9.97999954223633,0.029999999,9.929342,0.002984667,9.5,0.02,9.49406,0.001941146,9.383677,0.002761,9.609537,0.002806,9.002099,0.003795,8.647999763,0.027000001,8.41399955749512,0.041999999,8.39599990844727,0.023,0.0238473096576703,0.012236339685984,0.036496213425086,3.5847587862904,3.47936028686222,3.70706997971111,6.1902,0.0176,-26.9993807055298,189.06147507314,3.11634217048919,0.179156095788329,7872.92,-7872.91331399075,6.27853280610715,-74.5811563896967,6539,95,4.25,0.11,0.23,0.04,18.9,0.3,2.06,0.06,"free",1.394197,1.371678,1.416849,1.467261,1.421972,1.515442,NA,NA,NA,8.63,NA,NA,0.09,NA,NA,NA,NA,NA,NA,"EW","M22","C_SYEW","DS24","mr_iso",NA,"v1.0",NA
"WASP-70A","WASP-70",315.477197528058,-13.4333864,"Gaia DR2 6888469489370835840","Gaia DR3 6888469489370835840","J21015446-1325595",11.75,0.129999995231628,11.846965,0.002859265,10.789999961853,0.079999998,11.188699,0.001807016,11.031967,0.002768,11.358798,0.002864,10.538375,0.003799,9.99600028991699,0.035,9.713999748,0.044,9.57999992370606,0.029999999,0.00679924,0.001860953,0.0150913158841652,1.55476450332201,1.52728703692505,1.58956344219219,4.3371,0.0263,-53.6230413062647,173.688306628941,-2.47587332079327,0.286568704413213,7846.64,-7845.88520213106,108.940574891324,-107.489898740996,5759,58,4.28,0.03,0.2,0.02,1.8,0.8,0.81,0.11,"free",1.088336,1.06657,1.108671,1.24595,1.21981,1.272929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"WASP-71","WASP-71",29.26335,0.75885,"Gaia DR2 2507901914613005056","Gaia DR3 2507901914613201024","J01570320+0045318",11.3500003814697,0.109999999403953,11.307357,0.006274306,10.56000042,0.090000004,10.71504,0.003388812,10.568542,0.002791,10.869699,0.002828,10.109839,0.003794,9.63599968,0.022,9.41600036621094,0.022,9.319999695,0.023,0.045431129308123,0.028972835,0.062358544,6.03744991992706,5.76683966208388,6.31338623450215,2.8158,0.0265,-16.0061622198681,200.526690897238,5.48494918045083,0.108097472499706,8172.18,-8171.79045228058,79.3674302350065,-275.494636312446,6182,86,3.97,0.11,0.4,0.04,9.9,0.4,1.77,0.05,"free",1.579131,1.557472,1.599889,2.128473,2.052782,2.208831,NA,NA,NA,8.79,9.11,8.39,0.06,0.13,0.12,NA,NA,NA,NA,"EW","M22","C_SYEW;N_SYNTH;O_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"WASP-72","WASP-72",41.04004,-30.16905,"Gaia DR2 5065640460769428224","Gaia DR3 5065640460769428224","J02440959-3010085",11.4540004730225,0.027000001,11.501692,0.002598028,10.960000038147,0.050000001,10.971423,0.001622634,10.846672,0.002767,11.108425,0.002836,10.401769,0.003794,9.963999748,0.024,9.72399997711182,0.024,9.61699962615967,0.021,0.0150519788586783,0.00664304,0.0247911369027615,6.19286499562989,6.0075076263297,6.39476705630927,2.3889,0.0252,2.24070844465292,200.751545002453,-19.2187676337412,0.0893087581642596,8122.9,-8121.88750878329,-127.968107372874,-354.456017190825,6208,45,3.94,0.12,0.07,0.02,6.7,0.2,1.5,0.01,"free",1.459927,1.369811,1.479785,2.145594,2.104339,2.183863,NA,NA,NA,8.57,8.92,8.03,0.04,0.11,0.12,NA,NA,NA,NA,"EW","M22","C_SYEW;N_SYNTH;O_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"WASP-73","WASP-73",319.94961,-58.14889,"Gaia DR2 6453566701615683456","Gaia DR3 6453566701615683456","J21194790-5808559",10.9799995422363,0.050000001,10.977344,0.003900194,10.4700002670288,0.039999999,10.405209,0.002446587,10.264232,0.002762,10.55588,0.002817,9.808582,0.003787,9.352000237,0.024,9.07299995422363,0.022,9.02799987792969,0.021,0.0151490924674634,0.006580343,0.0253065103364565,6.00307270408033,5.86600544041626,6.159648945,3.1499,0.0139,4.58448523637248,213.154420423429,-8.07450397120999,0.0389418776444175,7783.56,-7783.03401416438,-90.1159378650434,-188.560584504337,6119,44,3.93,0.11,0.21,0.02,6,0.5,1.49,0.01,"free",1.509224,1.46474,1.527065,2.180036,2.137627,2.220744,NA,NA,NA,8.61,8.85,7.98,0.05,0.11,0.12,NA,NA,NA,NA,"EW","M22","C_SYEW;N_SYNTH;O_SYNTH","DS24","mr_iso",NA,"v1.0",NA
