BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.530944,1.00177,0.00234,1.1770,-0.40,-0.05,6.96,18480
2460356.531049,1.00151,0.00234,1.1774,-0.32,0.04,6.86,18072
2460356.531154,1.00082,0.00234,1.1779,0.52,0.57,6.94,16753
2460356.531259,1.00059,0.00235,1.1783,0.91,0.80,6.45,16846
2460356.531364,1.00278,0.00234,1.1787,1.85,-0.39,7.09,16557
2460356.531469,1.00657,0.00235,1.1791,2.96,-1.09,6.59,20190
2460356.531574,1.00175,0.00235,1.1796,3.12,-0.47,6.54,15028
2460356.531680,0.99888,0.00234,1.1800,3.55,-0.72,6.62,16827
2460356.531785,1.00311,0.00235,1.1804,3.96,-0.01,6.68,21658
2460356.531890,1.00117,0.00234,1.1808,4.29,-0.42,7.02,18430
2460356.531995,1.00247,0.00235,1.1813,1.50,-0.13,8.43,12475
2460356.532100,1.00462,0.00235,1.1817,-1.82,0.07,6.34,19065
2460356.532205,0.99671,0.00233,1.1821,-4.66,0.02,6.22,19785
2460356.532311,1.00064,0.00234,1.1825,-6.92,0.05,6.85,17848
2460356.532416,1.00111,0.00235,1.1830,-8.53,0.51,6.55,18244
2460356.532521,1.00247,0.00235,1.1834,-8.42,0.66,6.51,19884
2460356.532626,1.00479,0.00236,1.1838,-2.64,0.14,9.38,13341
2460356.532732,1.00466,0.00235,1.1843,0.41,-0.50,5.88,21259
2460356.532836,0.99632,0.00234,1.1847,-0.32,-0.17,6.30,17789
2460356.532942,1.00239,0.00235,1.1851,0.51,-0.29,7.09,17393
2460356.533047,1.00245,0.00234,1.1856,1.01,0.16,6.46,19758
2460356.533152,0.99836,0.00234,1.1860,1.90,0.17,6.52,20858
2460356.533257,1.00143,0.00234,1.1864,1.77,0.31,6.68,21571
2460356.533362,1.00694,0.00236,1.1869,3.44,0.11,6.78,15680
2460356.533467,1.00529,0.00237,1.1873,3.83,0.30,7.49,15160
2460356.533572,1.00671,0.00236,1.1877,4.39,0.64,6.61,16587
2460356.533678,1.00082,0.00235,1.1882,4.47,0.36,6.40,18292
2460356.533783,1.00407,0.00235,1.1886,4.84,0.85,6.24,19553
2460356.533888,0.99620,0.00235,1.1890,2.94,-0.32,8.29,12205
2460356.533994,0.99886,0.00235,1.1895,-0.11,-0.55,6.62,18442
2460356.534099,0.99985,0.00235,1.1899,-2.43,-0.47,6.52,17031
2460356.534204,1.00317,0.00236,1.1904,-5.41,-0.17,6.67,15257
2460356.534309,1.00524,0.00237,1.1908,-7.64,-0.23,7.53,14215
2460356.534413,0.99986,0.00235,1.1912,-8.32,-0.00,6.64,19265
2460356.534624,1.00434,0.00236,1.1921,0.68,-0.04,6.85,17023
2460356.534729,1.00232,0.00235,1.1925,2.08,-0.10,6.47,20818
2460356.534834,1.00261,0.00235,1.1930,1.69,-0.18,6.80,17966
2460356.534940,1.00099,0.00237,1.1935,1.50,0.22,7.38,15547
2460356.535045,1.00268,0.00236,1.1939,1.79,0.30,8.48,13488
