muscat_object,instruments,n_frames,ariel_name,period_d,depth_ppm,age,rotation_period,tess_mag,sep_arcsec
HAT-P-12,muscat,4735,HAT-P-12b,3.21305773,1.977,2.5,,11.7551,300.3393771241429
TOI4600,muscat3,6606,TOI-4600b,82.6869,0.59303214,2.3,,11.8787,301.77869355484955
WASP-80,muscat,10181,WASP-80b,3.06785211,2.937,7.0,,10.3622,305.8820027576039
HAT-P-19,muscat,1004,HAT-P-19b,4.00878324,2.11663185,8.8,35.5,11.9475,308.44919489845313
Kepler-51b,muscat2,6213,Kepler-51d,130.1845,0.96910112,0.5,8.222,14.2045,308.50264776275577
Kepler-51b,muscat2,6213,Kepler-51b,45.1542,0.514073569,0.5,8.222,14.2045,308.50264776275577
KELT-17,muscat,19559,KELT-17b,3.08018045,0.907,0.65,,9.02097,319.4343377231758
kepler-51d,muscat2,1937,Kepler-51b,45.1542,0.514073569,0.5,8.222,14.2045,324.41866074343477
kepler-51d,muscat2,1937,Kepler-51d,130.1845,0.96910112,0.5,8.222,14.2045,324.41866074343477
M27,muscat2,264,HD189733b,2.218574947,2.26,6.8,11.95,6.8481,326.3659744030222
WASP80,muscat,2844,WASP-80b,3.06785211,2.937,7.0,,10.3622,328.1462973723054
Kepler-51c,"muscat, muscat2",4810,Kepler-51d,130.1845,0.96910112,0.5,8.222,14.2045,329.12489847697276
Kepler-51c,"muscat, muscat2",4810,Kepler-51b,45.1542,0.514073569,0.5,8.222,14.2045,329.12489847697276
TOI01184.01,"muscat, muscat2",6775,TOI-1184b,5.748432,0.100407321,5.3,,9.9469,333.0763139942139
WASP92,muscat2,160,WASP-92b,2.17467324,1.254,2.29,10.07,12.423,336.55978843997536
EPIC38401,muscat,647,K2-333b,14.759875,0.207668875,,,11.5559,352.4920490299556
wasp148b,muscat2,2184,WASP-148b,8.803812,0.678327885,3.6,26.0,11.5906,354.9164976612495
TOI01759.01,muscat2,7920,TOI-1759b,18.85019,0.208429893,5.0,35.65,9.92838,373.3407832550467
WASP-77Ab,sinistro,170,WASP-77Ab,1.360028897,1.783,6.2,15.4,9.62713,387.2007276087061
TrES-5b,muscat2,5844,TrES-5b,1.482246565,1.998205223,7.4,,12.883,389.2183840998806
TOI06008,muscat2,1708,TOI-6008b,0.8574347,0.1517,3.0,,12.2936,390.9647802662829
Kepler-433,muscat3,1295,KOI-12b,17.855227,0.881382531,1.5,,10.931,392.1874419961002
TOI02081.01,muscat2,5589,WASP-150b,5.644213,0.44,2.95,,11.5429,405.17718245805725
toi02136.01,muscat2,2469,TOI-2136b,7.851949,0.343769318,4.6,82.56,11.7371,411.3129084743975
TOI05688.01,muscat2,1161,TOI-5688Ab,2.94815527,2.751039525,7.2,,14.2085,413.14107619594205
TOI06008.01,muscat2,1268,TOI-6008b,0.8574347,0.1517,3.0,,12.2936,413.55293798904876
TOI-1136,"muscat2, sinistro",10311,TOI-1136b,4.17278,0.032381364,0.7,,8.9361,419.9452388305846
TOI-1136,"muscat2, sinistro",10311,TOI-1136c,6.258708,0.074348338,0.7,,8.9361,419.9452388305846
TOI-1136,"muscat2, sinistro",10311,TOI-1136f,26.31789,0.135036564,0.7,,8.9361,419.9452388305846
TOI-1136,"muscat2, sinistro",10311,TOI-1136d,12.518996,0.192037889,0.7,,8.9361,419.9452388305846
TOI-1136,"muscat2, sinistro",10311,TOI-1136e,18.7953,0.062469312,0.7,,8.9361,419.9452388305846
HAT-P-37b,muscat2,1477,HAT-P-37b,2.79744203,1.899,3.6,,12.7678,434.35920341145373
TOI05522.01,muscat2,8358,HIP41378f,542.07975,0.446150538,4.279,,8.4642,440.2620681387482
TOI06008.02,muscat2,6367,TOI-6008b,0.8574347,0.1517,3.0,,12.2936,454.4392752034894
TOI04491.01,muscat2,7798,Ross176b,5.0066338,0.087892086,3.0,33.0,10.4382,454.63554967930776
KEPLER-12,muscat2,1577,Kepler-12b,4.4379627,1.477228789,4.0,,12.9614,458.8421046997597
KELT-9b_SE,"muscat, muscat2",17487,KELT-9b,1.48111897,0.677,0.3,,7.58204,463.27186292102164
TOI05386.01,muscat2,10805,TOI-5386Ab,3.62156552,1.172,3.4,,11.3502,476.81811004410736
HD201033,muscat2,13587,TOI-1431b,2.65023153,0.5797,0.29,,7.79824,480.4202238913072
TOI01268.01,muscat2,9590,TOI-1268b,8.157727,0.8186,0.245,10.9,10.1495,486.415380852769
TOI02013.01,"muscat, muscat2",4792,GJ3929b,2.616235,0.097519541,7.1,122.0,10.2705,491.60051584580344
TOI01416.01,muscat2,11577,TOI-1416b,1.0697568,0.0455,6.9,17.6,9.0739,493.97464534166113
HAT-P-44b,muscat2,3187,HAT-P-44b,4.30119068,1.842325768,7.5,,12.4474,500.45481883842496
TOI01470.01,"muscat, muscat2",8289,TOI-1470b,2.527093,0.1814,1.3,29.0,11.4752,503.7609959217493
TOI01470.01,"muscat, muscat2",8289,TOI-1470c,18.08816,0.2315,1.3,29.0,11.4752,503.7609959217493
TOI01456.01,muscat2,6853,HD332231b,18.71175,0.4867,4.3,,8.0417,506.2986172905793
HD149026b,muscat2,9996,HD149026b,2.87588859,0.293931885,2.6,,7.6262,525.473020458043
HAT-P-44,"muscat, muscat2",6789,HAT-P-44b,4.30119068,1.842325768,7.5,,12.4474,535.5500530056736
KELT-9bSE,muscat2,14926,KELT-9b,1.48111897,0.677,0.3,,7.58204,546.7319307979941
HD108236,sinistro,790,HD108236e,19.590239,0.104244551,6.7,,8.6522,565.1298828194017
HD108236,sinistro,790,TOI-1233.01,14.17555,0.078623393,6.7,,8.6522,565.1298828194017
MASCARA-2b,muscat2,7482,KELT-20b,3.47410057,1.309,0.2,,7.55216,565.6587814610858
wasp-184b,muscat2,3684,WASP-148b,8.803812,0.678327885,3.6,26.0,11.5906,577.8529285509142
WASP-148b,"muscat2, sinistro",32645,WASP-148b,8.803812,0.678327885,3.6,26.0,11.5906,590.2711931126181
