BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459604.056093,1.01744,0.00838,1.8316,-0.07,-0.62,11.46,22925
2459604.057541,1.00000,0.00802,1.8495,-1.50,0.75,8.46,29349
2459604.058990,0.99440,0.00895,1.8680,-0.27,0.92,14.35,18333
2459604.060439,1.00363,0.00851,1.8870,-1.14,0.53,11.49,21258
2459604.061887,1.00703,0.00862,1.9065,-1.44,0.89,13.99,19568
2459604.063336,0.99922,0.00859,1.9267,-2.06,1.58,12.77,20708
2459604.064785,1.00360,0.00959,1.9475,-0.38,1.92,14.84,15177
2459604.066234,1.00362,0.00811,1.9690,-2.11,0.90,10.61,24836
2459604.067676,1.00512,0.00957,1.9911,-1.73,1.50,14.37,16904
2459604.069125,0.99692,0.00888,2.0140,0.34,-0.15,12.10,20285
2459604.070580,1.00356,0.00972,2.0377,-2.13,1.87,13.21,17107
2459604.072029,0.99738,0.01018,2.0621,-2.13,-0.08,13.27,16403
2459604.073478,1.00832,0.00935,2.0873,-0.01,0.42,11.76,19350
2459604.074927,1.00777,0.01075,2.1133,-3.53,1.41,14.38,14333
2459604.076369,1.00392,0.01396,2.1402,-1.67,0.40,15.59,9953
