BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.530944,1.00322,0.00223,1.1770,0.36,-0.30,8.55,29477
2460356.531049,0.99958,0.00222,1.1774,0.47,0.17,8.33,29485
2460356.531154,1.00006,0.00222,1.1779,1.45,0.32,8.16,25907
2460356.531259,0.99694,0.00223,1.1783,1.62,0.39,7.95,26591
2460356.531364,0.99946,0.00222,1.1787,2.54,-0.43,8.50,26998
2460356.531469,1.00117,0.00221,1.1791,3.42,-1.22,7.89,29158
2460356.531574,1.00286,0.00224,1.1796,3.91,-0.68,8.39,24869
2460356.531679,0.99900,0.00222,1.1800,4.26,-0.92,8.40,27373
2460356.531785,0.99848,0.00222,1.1804,4.53,-0.42,7.71,33082
2460356.531890,1.00378,0.00222,1.1808,5.15,-0.56,8.66,32341
2460356.531995,0.99744,0.00222,1.1813,2.13,-0.51,9.26,22197
2460356.532100,0.99712,0.00221,1.1817,-1.04,-0.52,8.24,30607
2460356.532205,1.00202,0.00222,1.1821,-3.98,-0.25,7.82,31764
2460356.532310,0.99994,0.00222,1.1825,-6.24,-0.19,8.18,29259
2460356.532416,0.99793,0.00222,1.1830,-7.99,0.30,8.08,30776
2460356.532521,1.00082,0.00222,1.1834,-7.58,0.18,7.90,30854
2460356.532626,0.99534,0.00223,1.1838,-1.91,-0.26,9.49,23479
2460356.532731,1.00029,0.00222,1.1843,1.12,-0.51,7.15,33051
2460356.532836,0.99693,0.00223,1.1847,0.55,-0.23,7.87,29548
2460356.532942,0.99843,0.00222,1.1851,1.12,-0.56,8.47,30219
2460356.533047,0.99903,0.00222,1.1856,1.38,-0.06,8.18,32459
2460356.533152,0.99879,0.00222,1.1860,2.10,0.07,7.80,32162
2460356.533257,0.99956,0.00222,1.1864,2.64,-0.06,8.13,33315
2460356.533362,1.00210,0.00223,1.1869,3.92,-0.12,8.78,24369
2460356.533467,0.99826,0.00224,1.1873,4.50,0.35,8.54,26180
2460356.533572,0.99745,0.00223,1.1877,4.64,0.21,7.83,29527
2460356.533678,0.99812,0.00223,1.1882,5.26,0.06,7.65,31567
2460356.533783,0.99662,0.00222,1.1886,5.62,0.69,7.56,30198
2460356.533888,0.99702,0.00224,1.1890,3.37,-0.60,9.11,23628
2460356.533994,0.99768,0.00222,1.1895,0.66,-0.71,8.12,31117
2460356.534099,1.00022,0.00223,1.1899,-1.71,-0.81,8.19,27776
2460356.534204,0.99918,0.00223,1.1904,-4.51,-0.49,8.09,28540
2460356.534309,0.99569,0.00224,1.1908,-7.35,-0.26,8.75,24666
2460356.534413,0.99921,0.00222,1.1912,-7.76,-0.14,7.81,29922
2460356.534624,0.99797,0.00224,1.1921,1.36,-0.12,8.18,27919
2460356.534729,0.99773,0.00223,1.1925,2.65,-0.32,7.94,33255
2460356.534835,0.99833,0.00223,1.1930,2.25,-0.48,8.00,31491
2460356.534940,0.99919,0.00224,1.1935,2.01,-0.12,8.97,26047
2460356.535045,0.99797,0.00224,1.1939,2.33,0.43,10.17,23747
2460356.535150,1.00031,0.00223,1.1944,1.73,0.30,8.32,28095
2460356.535255,0.99928,0.00223,1.1948,2.11,0.65,8.24,30719
2460356.535360,1.00339,0.00223,1.1953,2.79,0.14,7.79,32335
2460356.535466,1.00191,0.00223,1.1957,3.55,0.68,7.40,35999
2460356.535571,0.99925,0.00223,1.1962,3.51,0.94,8.24,31173
2460356.535676,0.99659,0.00222,1.1966,4.28,0.68,9.07,28952
2460356.535782,0.99857,0.00224,1.1971,2.60,0.16,8.57,24852
2460356.535887,1.00042,0.00224,1.1975,1.56,-0.79,7.83,32069
2460356.535992,0.99787,0.00223,1.1980,0.44,-0.31,8.50,26045
2460356.536097,0.99749,0.00223,1.1984,-1.04,-0.02,7.67,31994
2460356.536202,1.00104,0.00224,1.1988,-2.54,0.02,7.93,29802
2460356.536307,0.99926,0.00223,1.1993,-4.21,0.14,7.88,33313
2460356.536412,1.00519,0.00224,1.1998,-0.88,-0.11,8.36,25856
2460356.536517,1.00220,0.00224,1.2002,1.89,-0.80,8.36,30287
2460356.536622,0.99824,0.00223,1.2006,2.95,-0.55,8.24,30589
2460356.536727,0.99748,0.00223,1.2011,3.57,-0.52,7.94,34194
2460356.536832,0.99781,0.00223,1.2016,4.00,-0.36,8.31,28392
2460356.536938,0.99554,0.00223,1.2021,3.53,0.03,8.39,30238
2460356.537042,1.00076,0.00224,1.2025,1.69,-0.25,8.36,26649
2460356.537148,1.00008,0.00223,1.2029,1.00,-0.08,8.09,33017
2460356.537253,1.00008,0.00223,1.2034,1.96,-0.05,8.79,28638
2460356.537358,1.00083,0.00223,1.2039,2.61,0.12,7.75,31554
2460356.537463,0.99860,0.00223,1.2044,3.15,0.31,7.84,30506
2460356.537568,0.99707,0.00223,1.2048,2.71,0.24,7.71,30492
2460356.537673,1.00139,0.00224,1.2053,1.41,-0.38,8.13,27998
2460356.537779,0.99777,0.00223,1.2057,1.95,-0.61,8.79,30854
2460356.537883,1.00343,0.00225,1.2062,1.01,-0.49,8.03,31018
2460356.537989,1.00155,0.00224,1.2067,-0.21,-0.50,8.49,28566
2460356.538094,0.99644,0.00223,1.2071,-2.21,-0.06,7.80,30907
2460356.538199,0.99501,0.00224,1.2076,-4.13,-0.04,7.03,32174
2460356.538304,0.99505,0.00224,1.2081,-2.26,0.19,9.27,23455
2460356.538409,1.00633,0.00225,1.2086,-0.30,0.36,8.03,32292
2460356.538514,1.00148,0.00223,1.2090,1.26,0.53,8.35,31712
2460356.538619,0.99923,0.00224,1.2095,1.63,0.33,7.58,32008
2460356.538724,0.99855,0.00224,1.2099,1.91,0.24,8.06,30733
2460356.538829,0.99790,0.00226,1.2105,1.59,0.41,8.94,22731
2460356.538934,0.99992,0.00225,1.2109,0.46,-0.17,8.14,28415
2460356.539040,0.99714,0.00223,1.2113,0.48,-0.28,7.53,32812
2460356.539145,1.00170,0.00224,1.2118,0.20,-0.60,8.26,34612
2460356.539250,0.99507,0.00223,1.2124,0.91,-0.10,7.46,36711
2460356.539355,0.99586,0.00224,1.2128,1.15,0.32,8.07,29162
2460356.539460,1.00168,0.00224,1.2133,1.63,0.09,7.93,32935
2460356.539566,0.99923,0.00224,1.2137,1.19,-0.04,8.09,30047
2460356.539671,1.00215,0.00224,1.2142,1.27,0.36,7.14,35744
2460356.539776,0.99847,0.00224,1.2147,1.70,0.39,7.08,35427
2460356.539881,1.00192,0.00225,1.2152,1.37,0.46,8.04,27561
2460356.539986,0.99865,0.00225,1.2157,0.02,0.68,7.73,31175
2460356.540091,1.00191,0.00225,1.2161,-1.90,0.69,7.75,30893
2460356.540197,0.99839,0.00224,1.2167,-1.66,-0.09,7.27,31097
2460356.540302,0.99922,0.00226,1.2172,-0.80,-0.45,7.88,30448
2460356.540407,0.99965,0.00226,1.2176,-0.67,-1.08,9.63,26155
2460356.540512,0.99931,0.00225,1.2181,0.37,-0.50,7.82,31782
2460356.540617,0.99634,0.00224,1.2186,-0.30,-0.11,7.61,33311
2460356.540722,0.99493,0.00224,1.2191,-0.65,-0.17,7.63,32194
2460356.540828,0.99852,0.00225,1.2196,-1.19,0.08,8.06,32576
2460356.540933,0.99706,0.00225,1.2201,-1.47,0.24,8.12,29102
2460356.541038,0.99819,0.00225,1.2205,-1.66,0.48,8.14,28151
2460356.541143,1.00121,0.00225,1.2210,-1.84,0.71,8.92,25013
2460356.541248,0.99683,0.00224,1.2215,-1.29,0.40,7.95,30583
2460356.541353,1.00088,0.00224,1.2220,-1.30,0.90,7.78,33180
2460356.541459,0.99991,0.00225,1.2225,-0.01,-0.26,8.48,26670
2460356.541564,0.99835,0.00224,1.2230,1.36,-0.54,7.72,31226
2460356.541669,1.00065,0.00226,1.2235,1.60,-1.06,7.76,30310
2460356.541774,1.00257,0.00226,1.2240,1.86,-0.91,8.47,26990
2460356.541879,0.99868,0.00225,1.2244,0.90,-0.85,8.11,29520
2460356.541984,0.99701,0.00225,1.2249,0.04,-0.16,7.97,28985
2460356.542090,0.99551,0.00225,1.2254,-0.80,-0.12,7.98,29994
2460356.542195,1.00312,0.00225,1.2260,-0.98,0.10,7.91,30158
2460356.542300,0.99912,0.00225,1.2265,-0.25,-0.41,8.23,30668
2460356.542405,1.00048,0.00225,1.2269,1.27,0.40,7.56,30047
2460356.542510,0.99735,0.00224,1.2274,1.18,0.54,7.39,32614
